MemberID,AverageRating,TotalRidesTaken,TotalRidesHosted
28498438,0.11,28,24
28498439,4.0,63,41
28498440,1.92,132,46
28498441,0.53,23,9
28498442,0.84,136,64
28498443,0.17,153,70
28498444,0.09,33,29
28498445,0.22,99,32
28498446,1.3,64,43
28498447,3.33,123,42
28498448,4.09,123,99
28498449,0.56,155,85
28498450,0.44,151,67
28498451,3.3,99,78
28498452,2.51,76,21
28498453,3.51,72,35
28498454,1.21,170,85
28498455,1.55,112,81
28498456,2.43,64,53
28498457,3.87,171,72
28498458,0.58,70,27
28498459,1.65,57,37
28498460,2.41,123,70
28498461,4.39,151,100
28498462,0.29,106,39
28498463,1.4,169,79
28498464,3.61,86,76
28498465,0.69,109,94
28498466,1.93,44,14
28498467,3.07,104,23
